categories_annotation_eval
      4d  : 3a  : 2  1a  4c  3b  4a  4e  : 4b  2b  2a  : 4a  : 2a  : 2b  3a  : 3b  : 1a  : 4c
4d     2     0    0   0   0   0   0   0     0   0   0     0     0     0   0     0     0     0
: 3a   0     0    0   1   0   1   0   0     0   0   4     0     0     0   0     0     0     0
: 2    0     0    0   0   0   0   0   0     0   0   1     0     0     0   0     0     0     0
1a     0     0    0  10   0   0   0   0     0   0   0     0     0     0   0     0     0     0
4c     0     0    0   0   1   0   0   0     0   0   0     0     0     0   0     0     0     0
3b     0     0    0   0   0   3   0   0     0   0   0     0     0     0   0     0     0     0
4a     0     0    0   0   0   0   1   0     0   0   0     0     0     0   0     0     0     0
4e     0     0    0   0   0   0   0   1     0   0   0     0     0     0   0     0     0     0
: 4b   0     0    0   0   0   1   1   0     0   1   4     0     0     0   2     0     0     0
2b     0     0    0   0   0   0   0   0     0   5   0     0     0     0   0     0     0     0
2a     0     0    0   0   0   0   0   0     0   0  64     0     0     0   0     0     0     0
: 4a   0     0    0   0   0   0   0   0     0   0   3     0     0     0   0     0     0     0
: 2a   0     0    0   9   1   4   5   1     0   2   0     0     0     0  16     0     0     0
: 2b   0     0    0   1   0   1   0   0     0   0   2     0     0     0   2     0     0     0
3a     0     0    0   0   0   0   0   0     0   0   0     0     0     0   7     0     0     0
: 3b   0     0    0   5   0   0   0   0     0   2  11     0     0     0   4     0     0     0
: 1a   0     0    0   0   0   2   0   1     0   1   1     0     0     0   0     0     0     0
: 4c   0     0    0   2   0   0   0   2     0   1   3     0     0     0   0     0     0     0

