categories_annotation_eval
    3b  4d  4b  2b  4a  4c  2a  1a  3a  4e
3b   3   0   0   2   0   0  11   5   4   0
4d   0   2   0   0   0   0   0   0   0   0
4b   1   0   0   1   1   0   4   0   2   0
2b   1   0   0   5   0   0   2   1   2   0
4a   0   0   0   0   1   0   3   0   0   0
4c   0   0   0   1   0   1   3   2   0   2
2a   4   0   0   2   5   1  64   9  16   1
1a   2   0   0   1   0   0   1  10   0   1
3a   1   0   0   0   0   0   4   1   7   0
4e   0   0   0   0   0   0   0   0   0   1

