categories_annotation_eval
      : 1a  3a  : 2  3b  4e  : 3b  : 2b  2b  : 4c  2a  4c  : 4b  4d  : 4a  : 3a  1a  4a  : 2a
: 1a     0   0    0   2   1     0     0   1     0   1   0     0   0     0     0   0   0     0
3a       0   7    0   0   0     0     0   0     0   0   0     0   0     0     0   0   0     0
: 2      0   0    0   0   0     0     0   0     0   1   0     0   0     0     0   0   0     0
3b       0   0    0   3   0     0     0   0     0   0   0     0   0     0     0   0   0     0
4e       0   0    0   0   1     0     0   0     0   0   0     0   0     0     0   0   0     0
: 3b     0   4    0   0   0     0     0   2     0  11   0     0   0     0     0   5   0     0
: 2b     0   2    0   1   0     0     0   0     0   2   0     0   0     0     0   1   0     0
2b       0   0    0   0   0     0     0   5     0   0   0     0   0     0     0   0   0     0
: 4c     0   0    0   0   2     0     0   1     0   3   0     0   0     0     0   2   0     0
2a       0   0    0   0   0     0     0   0     0  64   0     0   0     0     0   0   0     0
4c       0   0    0   0   0     0     0   0     0   0   1     0   0     0     0   0   0     0
: 4b     0   2    0   1   0     0     0   1     0   4   0     0   0     0     0   0   1     0
4d       0   0    0   0   0     0     0   0     0   0   0     0   2     0     0   0   0     0
: 4a     0   0    0   0   0     0     0   0     0   3   0     0   0     0     0   0   0     0
: 3a     0   0    0   1   0     0     0   0     0   4   0     0   0     0     0   1   0     0
1a       0   0    0   0   0     0     0   0     0   0   0     0   0     0     0  10   0     0
4a       0   0    0   0   0     0     0   0     0   0   0     0   0     0     0   0   1     0
: 2a     0  16    0   4   1     0     0   2     0   0   1     0   0     0     0   9   5     0

