idx,redeArgBspBspsynth7B64r16_1000
gpt4_annotated_examples_eval;Beispiel,0.0875
gpt4_annotated_examples_eval;Beispiel_für,0.38144841269841273
gpt4_annotated_examples_eval;Erzählposition,0.775
gpt4_annotated_examples_eval;erzählposition_binary,0.5
gpt4_annotated_examples_eval;Wiedergabeform,0.5833333333333333
gpt4_annotated_examples_eval;wiedergabe_binary,0.5
gpt4_annotated_examples_eval;in_gedankengang,1.0
gpt4_annotated_examples_eval;Modus_Zeit_Beispiel,0.75
gpt4_annotated_examples_eval;Modus_Zeit_Text,0.875
arguments;score,0.2904761904761905
arguments;score binary,0.7541666666666667
bsp_ds_clean;Beispiel,1.0
bsp_ds_clean;Beispiel_für,0.5
bsp_ds_clean;Erzählposition,0.6666666666666666
bsp_ds_clean;erzählposition_binary,1.0
bsp_ds_clean;Wiedergabeform,1.0
bsp_ds_clean;wiedergabe_binary,1.0
bsp_ds_clean;in_gedankengang,1.0
bsp_ds_clean;Modus_Zeit,1.0
bsp_ds_clean;total_distance,0.8348084092140198
redewiedergabe;score,0.6354166666666666
redewiedergabe;score binary,0.75
