idx,gpt-4
categories_annotation_eval;classification_1,0.49214659685863876
categories_annotation_eval;classification_2,0.6178010471204188
categories_annotation_eval;3a_1,0.7
categories_annotation_eval;3a_2,1.0
categories_annotation_eval;classification_num_1,0.5654450261780105
categories_annotation_eval;classification_num_2,0.806282722513089
categories_annotation_eval;3a_num_1,0.4782608695652174
categories_annotation_eval;3a_num_2,1.0
categories_annotation_eval;: 4c_1,0.0
categories_annotation_eval;: 4c_2,0.0
categories_annotation_eval;4e_num_1,0.75
categories_annotation_eval;4e_num_2,1.0
categories_annotation_eval;: 2a_1,0.0
categories_annotation_eval;: 2a_2,0.0
categories_annotation_eval;: 2a_num_1,0.0
categories_annotation_eval;: 2a_num_2,0.0
categories_annotation_eval;2a_1,0.8
categories_annotation_eval;2a_2,1.0
categories_annotation_eval;2a_num_1,0.8
categories_annotation_eval;2a_num_2,1.0
categories_annotation_eval;2b_1,0.8333333333333334
categories_annotation_eval;2b_2,1.0
categories_annotation_eval;2b_num_1,0.4375
categories_annotation_eval;2b_num_2,1.0
categories_annotation_eval;: 3a_1,0.0
categories_annotation_eval;: 3a_2,0.0
categories_annotation_eval;: 3a_num_1,0.0
categories_annotation_eval;: 3a_num_2,0.0
categories_annotation_eval;: 4b_1,0.0
categories_annotation_eval;: 4b_2,0.0
categories_annotation_eval;: 4b_num_1,0.0
categories_annotation_eval;: 4b_num_2,0.0
categories_annotation_eval;1a_1,0.9090909090909091
categories_annotation_eval;1a_2,1.0
categories_annotation_eval;1a_num_1,0.8333333333333334
categories_annotation_eval;1a_num_2,1.0
categories_annotation_eval;: 4c_num_1,0.0
categories_annotation_eval;: 4c_num_2,0.0
categories_annotation_eval;3b_1,0.6
categories_annotation_eval;3b_2,1.0
categories_annotation_eval;3b_num_1,0.6666666666666666
categories_annotation_eval;3b_num_2,1.0
categories_annotation_eval;: 3b_1,0.0
categories_annotation_eval;: 3b_2,0.0
categories_annotation_eval;: 3b_num_1,0.0
categories_annotation_eval;: 3b_num_2,0.0
categories_annotation_eval;: 4a_1,0.0
categories_annotation_eval;: 4a_2,0.0
categories_annotation_eval;: 4a_num_1,0.0
categories_annotation_eval;: 4a_num_2,0.0
categories_annotation_eval;: 1a_1,0.0
categories_annotation_eval;: 1a_2,0.0
categories_annotation_eval;: 1a_num_1,0.0
categories_annotation_eval;: 1a_num_2,0.0
categories_annotation_eval;: 2b_1,0.0
categories_annotation_eval;: 2b_2,0.0
categories_annotation_eval;4a_num_1,0.6666666666666666
categories_annotation_eval;4a_num_2,1.0
categories_annotation_eval;4d_1,1.0
categories_annotation_eval;4d_2,1.0
categories_annotation_eval;4d_num_1,1.0
categories_annotation_eval;4d_num_2,1.0
categories_annotation_eval;4c_1,0.5
categories_annotation_eval;4c_2,1.0
categories_annotation_eval;4c_num_1,0.5
categories_annotation_eval;4c_num_2,1.0
categories_annotation_eval;: 2b_num_1,0.0
categories_annotation_eval;: 2b_num_2,0.0
categories_annotation_eval;4e_1,1.0
categories_annotation_eval;4e_2,1.0
categories_annotation_eval;4a_1,1.0
categories_annotation_eval;4a_2,1.0
categories_annotation_eval;4b_num_1,0.0
categories_annotation_eval;4b_num_2,1.0
